Street_Address,British_Origin,Origin_Reference
1 AKYAB ROAD,1,Akyab (former British colonial name for Sittwe Myanmar)
1 ALEXANDRA VIEW,1,Queen Alexandra (wife of King Edward VII)
1 AMBER GARDENS,0,
1 AMBER ROAD,0,
1 ANG MO KIO STREET 66,0,
9E HILLCREST ROAD,0,
9G YUAN CHING ROAD,0,
9L SURIN AVENUE,0,
9Q HILLCREST ROAD,0,
C-1 HOLLAND PARK,1,Holland (British colonial territory reference)
NOVENA MRT STATION,0,
1 VICTORIA STREET,1,Queen Victoria
1 RAFFLES PLACE,1,Sir Stamford Raffles (British colonial administrator)
1 ORCHARD ROAD,1,British colonial plantation area
1 TANGLIN ROAD,1,British colonial administrative area
1 BUKIT TIMAH ROAD,0,
1 SERANGOON ROAD,0,
1 BOAT QUAY,0,
1 CLARKE QUAY,1,Sir Andrew Clarke (British colonial governor)
1 MARINA BAY,0,
1 CHINATOWN,0,
1 LITTLE INDIA,0,
1 KAMPONG GLAM,0,
1 TANJONG PAGAR,0,
1 NEWTON CIRCUS,1,Newton (British scientist reference)
1 SOMERSET ROAD,1,Somerset (British county)
1 SCOTTS ROAD,1,Captain Robert Scott (British naval officer)
1 OXLEY ROAD,1,Captain Thomas Oxley (British colonial surveyor)
1 COLEMAN STREET,1,George Drumgoole Coleman (British colonial architect)
1 STAMFORD ROAD,1,Sir Stamford Raffles
1 BRAS BASAH ROAD,0,
1 BEACH ROAD,0,
1 NORTH BRIDGE ROAD,0,
1 SOUTH BRIDGE ROAD,0,
1 HIGH STREET,1,Common British street name
1 HILL STREET,1,Common British street name
1 CHURCH STREET,1,Common British street name
1 CROSS STREET,1,Common British street name
1 MIDDLE ROAD,1,Common British street name
1 ARAB STREET,0,
1 HAJI LANE,0,
1 SULTAN GATE,0,
1 MUSCAT STREET,0,
1 BAGHDAD STREET,0,
1 KANDAHAR STREET,0,
1 BUSSORAH STREET,0,
1 MARTIN ROAD,1,British personal name
1 ANDERSON ROAD,1,British personal name
1 THOMSON ROAD,1,British personal name
1 MACKENZIE ROAD,1,British personal name
1 CAMPBELL LANE,1,British personal name
1 DHOBY GHAUT,0,
1 BENCOOLEN STREET,0,
1 WATERLOO STREET,1,Waterloo (British victory)
1 QUEEN STREET,1,British royal reference
1 KING STREET,1,British royal reference
1 PRINCE STREET,1,British royal reference
1 DUKE STREET,1,British noble title
1 EARL STREET,1,British noble title
1 REGENT STREET,1,British royal reference
1 IMPERIAL LANE,1,British imperial reference
1 COLONIAL DRIVE,1,British colonial reference
1 EMPIRE ROAD,1,British empire reference
1 BRITANNIA ROAD,1,Britannia (British symbol)
1 WINDSOR PARK,1,Windsor (British royal residence)
1 BUCKINGHAM GATE,1,Buckingham (British royal palace)
1 WESTMINSTER AVENUE,1,Westminster (British government district)
1 CAMBRIDGE ROAD,1,Cambridge (British university city)
1 OXFORD STREET,1,Oxford (British university city)
1 LONDON STREET,1,London (British capital)
1 MANCHESTER ROAD,1,Manchester (British city)
1 LIVERPOOL STREET,1,Liverpool (British city)
1 BIRMINGHAM LANE,1,Birmingham (British city)
1 BRISTOL ROAD,1,Bristol (British city)
1 LEEDS STREET,1,Leeds (British city)
1 SHEFFIELD ROAD,1,Sheffield (British city)
1 NEWCASTLE AVENUE,1,Newcastle (British city)
1 BRADFORD STREET,1,Bradford (British city)
1 BRIGHTON ROAD,1,Brighton (British city)
1 DOVER ROAD,1,Dover (British port city)
1 PLYMOUTH ROAD,1,Plymouth (British city)
1 KENT ROAD,1,Kent (British county)
1 SURREY ROAD,1,Surrey (British county)
1 ESSEX ROAD,1,Essex (British county)
1 DEVON ROAD,1,Devon (British county)
1 CORNWALL ROAD,1,Cornwall (British county)
1 YORKSHIRE ROAD,1,Yorkshire (British county)
1 LANCASHIRE ROAD,1,Lancashire (British county)
1 CHESHIRE ROAD,1,Cheshire (British county)
1 NORFOLK ROAD,1,Norfolk (British county)
1 SUFFOLK ROAD,1,Suffolk (British county)
